edge_id,actor_id,issue_id,issue_label,relation_basis,source_ref,evidence_level,review_status,notes,original_actor_id,human_decision,review_task_id,human_reviewer,review_date,reviewed_fields,scope_status,superseded_by_edge_id,decision_source_report,interpretation_limit
AI001,A001,I004,dugong,OEJP/MMC dugong advocacy,S006;S007;S008,E4,ai_seeded,Core issue.,,,,,,,,,,
AI002,A001,I012,international_advocacy,Request to U.S. Marine Mammal Commission,S006;S007;S008,E4,ai_seeded,Transnational advocacy route.,,,,,,,,,,
AI003,A001,I003,Henoko,Henoko/Oura Bay focus,S006;S007;S008,E4,ai_seeded,Place issue.,,,,,,,,,,
AI004,A002,I004,dugong,Dugong protection campaign and advocacy context,S007;S057;S058;S059,E4,human_revised,HR-001 identity confirmed; do not treat as lawsuit plaintiff.,,,,,,,,,,
AI005,A002,I012,international_advocacy,IUCN and international advocacy context,S007;S058,E4,human_revised,HR-001 confirms international advocacy role via SDCC/IUCN; lawsuit link is personnel overlap not plaintiff status.,,,,,,,,,,
AI006,A003,I004,dugong,2010 WWF signatory list,S003,E3,needs_second_source,Confirm organization details.,,,,,,,,,,
AI007,A003,I005,biodiversity,2010 WWF Henoko habitat statement,S003,E3,needs_second_source,Environmental actor seed.,,,,,,,,,,
AI008,A004,I005,biodiversity,2015 NACSJ emergency statement,S004,E4,ai_seeded,National environmental NGO.,,,,,,,,,,
AI009,A004,I003,Henoko,Henoko emergency statement,S004,E4,ai_seeded,Issue/place link.,,,,,,,,,,
AI010,A005,I004,dugong,2010 WWF statement host,S003,E4,ai_seeded,Statement host.,,,,,,,,,,
AI011,A005,I005,biodiversity,2010 WWF statement host,S003,E4,ai_seeded,Environmental frame.,,,,,,,,,,
AI012,A006,I005,biodiversity,2010 WWF signatory list,S003,E4,ai_seeded,Environmental NGO.,,,,,,,,,,
AI013,A006,I001,anti_base,Henoko base construction opposition statement,S003,E4,ai_seeded,Statement-based.,,,,,,,,,,
AI014,A007,I019,peace,Peace Boat Henoko statement,S005,E4,ai_seeded,Peace movement bridge.,,,,,,,,,,
AI015,A007,I001,anti_base,Peace Boat Henoko statement,S005,E4,ai_seeded,Statement-based.,,,,,,,,,,
AI016,A007,I012,international_advocacy,International peace NGO role,S005,E4,ai_seeded,Bridge actor.,,,,,,,,,,
