actor_class_original,actor_count,schema_status,analysis_family_v1,actor_ids,human_taxonomy_decision_required,recommended_rule,review_decision
base_community_service_actor,3,schema_term,基地社区服务／慈善,X001;X008;X009,no,retain class term and map to analysis family,
base_spouse_charity_network,1,schema_term,基地社区服务／慈善,X004,no,retain class term and map to analysis family,
base_spouse_club,5,schema_term,基地社区服务／慈善,X005;X006;X007;X016;X017,no,retain class term and map to analysis family,
citizen_group,16,schema_term,冲绳本地公民行动,A011;A012;A016;A018;A048;A049;A051;A052;A053;A060;A063;A068;A069;A095;A100;A110,no,retain class term and map to analysis family,
citizen_network,24,schema_term,冲绳本地公民行动,A008;A010;A013;A017;A019;A024;A027;A029;A047;A055;A056;A057;A058;A059;A065;A067;A071;A072;A096;A099;A101;A103;A106;A108,no,retain class term and map to analysis family,
corporate_sponsor,1,schema_term,资助／赞助／公共机构,X003,no,retain class term and map to analysis family,
domestic_japan_ngo,11,schema_term,日本国内 NGO／声援,A004;A005;A006;A007;A021;A022;A030;A031;A061;A062;A066,no,retain class term and map to analysis family,
executive_committee,3,schema_term,冲绳本地公民行动,A014;A015;A025,no,retain class term and map to analysis family,
funder_or_intermediary,1,schema_term,资助／赞助／公共机构,X014,no,retain class term and map to analysis family,
international_advocacy_actor,7,schema_term,跨国 NGO／国际倡议,A001;A002;A009;A028;A032;A064;A070,no,retain class term and map to analysis family,
international_ngo,16,schema_term,跨国 NGO／国际倡议,X015;A033;A034;A035;A036;A037;A038;A039;A040;A041;A042;A043;A044;A045;A046;A086,no,retain class term and map to analysis family,
labor_or_education_union,2,out_of_schema_term,劳工／教育组织,A089;A090,yes,decide whether to extend actor_class vocabulary or collapse to an existing broad class,
labor_union,1,out_of_schema_term,劳工／教育组织,A093,yes,decide whether to extend actor_class vocabulary or collapse to an existing broad class,
labor_union_federation,2,out_of_schema_term,劳工／教育组织,A091;A092,yes,decide whether to extend actor_class vocabulary or collapse to an existing broad class,
lawyers_network,5,schema_term,法律／制度程序,A020;A050;A102;A104;A109,no,retain class term and map to analysis family,
local_business_sponsor,1,schema_term,资助／赞助／公共机构,X002,no,retain class term and map to analysis family,
local_civic_actor,5,schema_term,冲绳本地公民行动,A003;A023;A054;A076;A097,no,retain class term and map to analysis family,
local_international_cooperation_ngo,2,schema_term,国际合作／公共外交,X010;A073,no,retain class term and map to analysis family,
local_npo,3,schema_term,冲绳本地公民行动,A087;A088;A098,no,retain class term and map to analysis family,
media_or_advocacy_actor,1,out_of_schema_term,媒体／倡议观察节点,A026,yes,decide whether to extend actor_class vocabulary or collapse to an existing broad class,
public_diplomacy_grant_program,1,schema_term,国际合作／公共外交,X013,no,retain class term and map to analysis family,
public_diplomacy_or_exchange_actor,1,schema_term,国际合作／公共外交,X012,no,retain class term and map to analysis family,
public_institution_partner,3,schema_term,资助／赞助／公共机构,X011;A074;A075,no,retain class term and map to analysis family,
womens_or_community_organization,1,out_of_schema_term,女性／人权／社区,A111,yes,decide whether to extend actor_class vocabulary or collapse to an existing broad class,
womens_or_human_rights_ngo,2,out_of_schema_term,女性／人权／社区,A105;A107,yes,decide whether to extend actor_class vocabulary or collapse to an existing broad class,
