review_item_id,relation_observation_id,source_record_ids,fiscal_year,source_entity,target_entity,program_name,current_relation_type,current_mechanism,current_financial_semantics,linked_amount_ids,linked_function_ids,linked_source_refs,linked_source_locators,current_evidence_level,current_review_status,precise_review_question,accept,revise,reject,revision_instructions,human_notes,affected_main_table_proposal,affected_figures,affected_brief_sections
HR-018-01,R10R001,R10A001,2019,JICA沖縄,沖縄NGOセンター,JICA教師海外研修（九州・沖縄）,commission,委託,commission_role_amount_not_public,,R10FN001,S100,REL=PDF p.103 | R10FN001=PDF p.103,E4,ai_seeded,请核对 S100 p.103 是否足以确认 ONC 是该事业及报告受托者、FY2019 期间与公共机构→actor 方向；若接受，仍须确认不附加金额。,,,,,,propose_new_relation,fig_r10_mechanism_ecology.png;fig_r10_amount_evidence_boundary.png,§2;§4;§6
HR-018-02,R10R002,R10A002,2019,冲绳市,沖縄NGOセンター,Koza International Plaza 运营,commission,委託,named_recipient_commission_flow,R10AM001,,R10S05,"REL=PDF pp.9-10, 国际交流事業资金流 | R10AM001=PDF pp.9-10",E4,ai_seeded,"请核对 R10S05 pp.9-10 的 FY2019 KIP 资金流、ONC 名称与 17,157,000 日元是否为点名委托费，并确认来源已归档后才提议并表。",,,,,,propose_new_relation,fig_r10_mechanism_ecology.png;fig_r10_amount_evidence_boundary.png,§2;§3;§4;§6
HR-018-03,R10R003,R10A003,2020,冲绳市,沖縄NGOセンター,Koza International Plaza 运营,commission,委託,named_recipient_commission_flow,R10AM002,,R10S06,"REL=PDF pp.9-10, 国际交流事業资金流 | R10AM002=PDF pp.9-10",E4,ai_seeded,"请核对 R10S06 pp.9-10 的 FY2020 KIP 资金流、ONC 名称与 16,970,000 日元是否为点名委托费，并确认来源已归档后才提议并表。",,,,,,propose_new_relation,fig_r10_mechanism_ecology.png;fig_r10_amount_evidence_boundary.png,§2;§3;§4;§6
HR-018-04,R10R004,R10A004;R10A005;R10A020;F033,2024,冲绳市,沖縄NGOセンター,Koza International Plaza 管理运营,commission,委託,named_recipient_flow_plus_parallel_costs,R10AM003;R10AM004;R10AM005;R10AM006,R10FN002;R10FN003;R10FN004,R10S07;S099;R10S09;R10S10,REL=R10S07 PDF pp.5-6; S099 PDF pp.1-2 | R10AM003=PDF pp.5-6 | R10AM004=PDF pp.5-6 | R10AM005=PDF pp.5-6 | R10AM006=PDF pp.1-2 | R10FN002=R10S07 PDF pp.5-6 | R10FN003=R10S07 PDF pp.5-6 | R10FN004=R10S07 PDF pp.5-6,E4,ai_seeded,请逐项核对 FY2024 KIP 的 18.858m 总事业费、16.662m 交付对象委托流、2.196m 交付对象外 3 月运营费与 ONC 16.040m 事业费；确认仅保留一条关系且不把后两类成本写成付款。,,,,,,update_existing_F033,fig_r10_mechanism_ecology.png;fig_r10_amount_evidence_boundary.png,§2;§3;§4;§6
HR-018-05,R10R005,R10A006;R10A007;R10A019;F032,2024,冲绳县,沖縄NGOセンター,多文化共生社会の構築に関する万国津梁会議运营支援,commission,C1;委託,commission_relation_project_costs_only,R10AM007;R10AM008,R10FN005;R10FN006,S002;S099;R10S08;R10S12,"REL=S002 PDF p.59 row 431; S099 PDF pp.3,8; R10S12 PDF p.2 | R10AM007=PDF p.59 row 431 | R10AM008=PDF p.8; narrative p.3 | R10FN005=S002 PDF p.59; S099 PDF p.3 | R10FN006=official meeting minutes",E4,ai_seeded,"请核对 S002 row 431 的 C1、2024-07-04 起始日、5.140m 项目费，以及 S099 的 6月–3月/5,530,234 成本和 R10S08 事务局角色；决定期间写法并确认两金额都不是合同额。",,,,,,update_existing_F032,fig_r10_mechanism_ecology.png;fig_r10_amount_evidence_boundary.png,§2;§3;§4;§6
HR-018-06,R10R006,R10A008;F031,2024,外务省,沖縄NGOセンター,NGO相談員（外務省委託）,commission,委託,commission_relation_organization_cost_only,R10AM009,R10FN007,S099,"REL=PDF pp.2,8 | R10AM009=PDF p.8; narrative p.2 | R10FN007=PDF p.2",E4,ai_seeded,"请核对 S099 是否足以确认 FY2024 NGO相談員为外务省委托，并确认 2,894,630 日元只作为 ONC 组织侧项目成本，不写成 MOFA 支付。",,,,,,update_existing_F031,fig_r10_mechanism_ecology.png;fig_r10_amount_evidence_boundary.png,§2;§3;§4;§6
HR-018-07,R10R007,R10A009;F031,2026,外务省,沖縄NGOセンター,令和8年度 NGO相談員,designated_role,指定角色,designation_no_amount,,R10FN008,S101,"REL=official list, FY2026 | R10FN008=official FY2026 list",E4,ai_seeded,请核对 S101 FY2026 名单是否只确认 ONC 指定角色延续、期间与服务定义；不得从名单推定金额或 recipient 网络。,,,,,,update_existing_F031_time_extension,fig_r10_mechanism_ecology.png;fig_r10_amount_evidence_boundary.png,§2;§4;§6
HR-018-08,R10R008,R10A010;R10V008,2024,冲绳县,新外交イニシアティブ（ND）,在冲美军基地问题研讨会举办业务,commission,C2;提案型公募委託,confirmed_contract,R10AM010;R10AM011,R10FN009,S002;R10S11;R10S12,REL=S002 PDF p.1 row 1; R10S11 PDF p.1 row 2; R10S12 PDF p.2 | R10AM010=PDF p.1 row 1 | R10AM011=PDF p.1 row 2 | R10FN009=S002 PDF p.1; R10S11 PDF p.1,E4,ai_seeded,"请核对 A066 actor crosswalk、S002 C2、12.843m 项目费与 R10S11 12,842,500 日元实际合同额；确认不是 grant、机会限额或运动资金。",,,,,,propose_new_relation_after_human_review,fig_r10_mechanism_ecology.png;fig_r10_amount_evidence_boundary.png,§2;§3;§4;§6
HR-018-09,R10R009,R10A011;R10V009,2024,冲绳县,特定非营利活动法人冲绳和平协力中心,“和平之思”传播·交流·传承事业,commission,C2;提案型公募委託,confirmed_contract,R10AM012;R10AM013,R10FN010,S002;R10S11;R10S12,REL=S002 PDF p.2 row 10; R10S11 PDF p.2 row 11; R10S12 PDF p.2 | R10AM012=PDF p.2 row 10 | R10AM013=PDF p.2 row 11 | R10FN010=S002 PDF p.2; R10S11 PDF p.2,E4,ai_seeded,"请核对 A088 crosswalk、S002 C2、25.547m 项目费与 R10S11 26,439,000 日元合同额，并确认此项目独立于另一份 A088 合同。",,,,,,propose_new_relation_after_human_review,fig_r10_mechanism_ecology.png;fig_r10_amount_evidence_boundary.png,§2;§3;§4;§6
HR-018-10,R10R010,R10A012;R10V010,2024,冲绳县,特定非营利活动法人冲绳和平协力中心,冲绳战讲述者培养事业,commission,C2;提案型公募委託,confirmed_contract,R10AM014;R10AM015,R10FN011,S002;R10S11;R10S12,REL=S002 PDF p.2 row 11; R10S11 PDF p.2 row 12; R10S12 PDF p.2 | R10AM014=PDF p.2 row 11 | R10AM015=PDF p.2 row 12 | R10FN011=S002 PDF p.2; R10S11 PDF p.2,E4,ai_seeded,"请核对 A088 crosswalk、S002 C2、6.496m 项目费与 R10S11 8,479,000 日元合同额，并确认此项目独立于另一份 A088 合同。",,,,,,propose_new_relation_after_human_review,fig_r10_mechanism_ecology.png;fig_r10_amount_evidence_boundary.png,§2;§3;§4;§6
